name,agg_master_class,master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J132530.3-430045,XB,HMXB,3,0.003±0.005,0.003±0.004,0.002±0.003,0.0±0.0,0.485±0.382,0.176±0.172,0.0±0.0,0.203±0.227,0.007±0.01,0.122±0.162,201.376283176995,-43.0127707410722
2CXO J132530.0-430048,XB,HMXB,3,0.003±0.005,0.003±0.004,0.002±0.003,0.0±0.0,0.485±0.382,0.176±0.172,0.0±0.0,0.203±0.227,0.007±0.01,0.122±0.162,201.3750505275385,-43.0134876802323
2CXO J140421.8+541921,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.032±0.045,0.267±0.377,0.0±0.0,0.352±0.459,0.344±0.449,0.005±0.007,211.0909391286491,54.32267569713697
2CXO J132529.8-430054,YSO,YSO,3,0.003±0.004,0.001±0.001,0.0±0.0,0.0±0.0,0.001±0.001,0.329±0.466,0.0±0.0,0.607±0.435,0.009±0.012,0.05±0.071,201.37435931377289,-43.01522570208505
2CXO J141301.0-652548,XB,HMXB,3,0.057±0.042,0.097±0.054,0.058±0.065,0.0±0.0,0.781±0.026,0.007±0.005,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,213.2543237415357,-65.43009020580386
2CXO J132528.0-430055,XB,HMXB,3,0.0±0.0,0.0±0.0,0.003±0.004,0.01±0.014,0.654±0.462,0.0±0.001,0.001±0.001,0.169±0.238,0.103±0.146,0.062±0.087,201.3668539907792,-43.01537005489752
2CXO J141312.1-652007,AGN,AGN,3,0.0±0.0,0.549±0.198,0.029±0.02,0.033±0.027,0.079±0.093,0.175±0.156,0.0±0.0,0.0±0.0,0.0±0.0,0.135±0.19,213.3007493871421,-65.33529407410089
2CXO J141312.5-652052,XB,LMXB,3,0.0±0.0,0.149±0.142,0.005±0.006,0.006±0.009,0.052±0.04,0.758±0.159,0.0±0.0,0.018±0.024,0.002±0.003,0.01±0.005,213.30217818818343,-65.34792024313383
2CXO J232324.7+585025,XB,LMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,350.8533145452656,58.84053402976455
2CXO J123054.9+122538,XB,HMXB,3,0.066±0.069,0.2±0.083,0.206±0.262,0.024±0.033,0.351±0.286,0.082±0.112,0.072±0.099,0.0±0.0,0.0±0.0,0.0±0.0,187.7289641445834,12.427397514665454
2CXO J232354.8+585000,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.002±0.002,0.0±0.0,0.0±0.0,0.667±0.471,0.0±0.0,0.332±0.469,350.9783344467769,58.8334831157743
2CXO J221459.9-165320,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.141±0.199,0.0±0.0,0.03±0.028,0.139±0.105,0.69±0.316,333.7499810796403,-16.889005810049856
2CXO J104551.8-595643,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.273±0.386,0.327±0.462,0.0±0.0,0.375±0.442,0.001±0.001,0.025±0.025,161.46598261357167,-59.94550698809638
2CXO J121949.1+292206,Seyfert,Seyfert_1,3,0.178±0.236,0.131±0.11,0.359±0.258,0.01±0.012,0.268±0.205,0.0±0.0,0.054±0.074,0.0±0.0,0.0±0.0,0.0±0.0,184.95487758959803,29.368425961372083
2CXO J133451.4+374619,YSO,Orion_V*,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.031±0.044,0.0±0.0,0.0±0.0,0.409±0.358,0.0±0.0,0.56±0.401,203.714329714963,37.77205031636124
